                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     11,                 1.4272,                 1.2081,                 1.0028,                0.60764,                      1,                 0.7946,                0.43453,                 1.6291,                 1.3081,                 1.1025,             0.00051328,             0.00051328,             0.00051328
                     12,                 1.3987,                 1.1139,                0.98437,                0.77663,                0.86984,                0.82996,                  0.477,                 1.6218,                 1.1626,                 1.1126,             0.00054754,             0.00054754,             0.00054754
                     13,                 1.3105,                 1.1642,                0.98139,                0.78674,                      1,                0.89225,                0.49989,                 1.6072,                0.91933,                 1.0628,             0.00057942,             0.00057942,             0.00057942
                     14,                 1.3997,                 1.1835,                0.99447,                0.92977,                   0.75,                0.93338,                0.52501,                 1.5548,                0.87357,                 1.0295,             0.00060893,             0.00060893,             0.00060893
                     15,                 1.3008,                 1.2151,                 1.0278,                      1,                0.72981,                0.94602,                0.53484,                 1.5297,                0.96555,                 1.0092,             0.00063606,             0.00063606,             0.00063606
                     16,                 1.3392,                 1.1608,                0.97066,                      1,                0.86407,                0.96227,                0.51643,                 1.5539,                0.88481,                  0.999,             0.00066082,             0.00066082,             0.00066082
                     17,                 1.2791,                 1.0315,                0.97914,                0.78226,                   0.75,                0.86886,                0.47635,                 1.6999,                 1.0072,                 1.0394,              0.0006832,              0.0006832,              0.0006832
                     18,                 1.3671,                 1.0029,                 1.0681,                0.65426,                0.94881,                 0.8235,                0.47156,                 1.6905,                 1.0848,                 1.0478,              0.0007032,              0.0007032,              0.0007032
                     19,                 1.2743,                0.93895,                0.96344,                 0.6407,                0.89288,                  0.791,                0.39037,                 1.6001,                 1.1577,                 1.0341,             0.00072083,             0.00072083,             0.00072083
                     20,                 1.3384,                 1.0588,                 1.0311,                0.60254,                      1,                0.77551,                0.44324,                 1.5274,                 1.1373,                  1.029,             0.00073608,             0.00073608,             0.00073608
                     21,                 1.3075,                 1.0506,                0.98691,                0.59523,                      1,                0.83103,                0.53645,                 1.4859,                0.97813,                 1.0194,             0.00074896,             0.00074896,             0.00074896
                     22,                 1.3786,                 1.2127,                 1.1217,                0.99587,                   0.75,                0.91996,                0.53806,                 1.5259,                0.87646,                 1.0271,             0.00075946,             0.00075946,             0.00075946
                     23,                 1.2969,                0.96206,                0.95933,                0.87473,                0.87308,                0.92375,                0.55732,                 1.5197,                0.87323,                 1.0174,             0.00076758,             0.00076758,             0.00076758
                     24,                 1.3277,                 1.0786,                0.99302,                0.84236,                  0.875,                 0.8925,                0.48872,                 1.5457,                0.93018,                 1.0006,             0.00077333,             0.00077333,             0.00077333
                     25,                 1.2003,                0.92308,                0.96899,                0.79944,                  0.875,                0.86482,                0.48638,                 1.5934,                 1.0233,                 1.0157,              0.0007767,              0.0007767,              0.0007767
                     26,                 1.2586,                0.96638,                0.95929,                 0.7526,                  0.875,                0.85725,                0.50596,                 1.6015,                 1.0681,                 1.0136,              0.0007777,              0.0007777,              0.0007777
                     27,                 1.1986,                0.87832,                0.93866,                0.85427,                  0.875,                 0.8725,                0.48245,                 1.6188,                 1.0437,                 1.0251,             0.00077632,             0.00077632,             0.00077632
                     28,                 1.2036,                0.93899,                 0.9366,                0.86287,                  0.875,                0.93975,                0.48969,                 1.5696,                 1.0367,                 1.0097,             0.00077256,             0.00077256,             0.00077256
                     29,                 1.2643,                0.87309,                0.98251,                0.86287,                  0.875,                0.93975,                0.48969,                 1.5696,                 1.0367,                 1.0097,             0.00076643,             0.00076643,             0.00076643
                     30,                 1.2525,                0.81082,                0.96857,                0.98494,                  0.875,                  0.971,                0.48901,                 1.6053,                0.99561,                 1.0239,             0.00075792,             0.00075792,             0.00075792
                     31,                 1.2012,                0.85265,                0.94313,                0.98212,                  0.875,                0.98167,                0.52928,                 1.5466,                0.95307,                 1.0113,             0.00074704,             0.00074704,             0.00074704
                     32,                  1.232,                0.90212,                0.96461,                0.97789,                      1,                  0.995,                0.52118,                 1.5238,                0.90611,                 1.0155,             0.00073378,             0.00073378,             0.00073378
                     33,                 1.1566,                0.93736,                0.94771,                0.97789,                      1,                  0.995,                0.52118,                 1.5238,                0.90611,                 1.0155,             0.00071814,             0.00071814,             0.00071814
                     34,                 1.1591,                0.84687,                0.95619,                0.97462,                      1,                  0.995,                0.49816,                 1.5358,                0.95115,                 1.0447,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.1742,                0.78427,                0.96678,                0.96713,                      1,                  0.995,                0.48408,                 1.5632,                0.97021,                 1.0445,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.0641,                0.86517,                0.89345,                0.96438,                      1,                  0.995,                0.50454,                 1.5825,                 0.9512,                 1.0372,               0.000614,               0.000614,               0.000614
                     37,                 1.1492,                0.82822,                0.99841,                0.96438,                      1,                  0.995,                0.50454,                 1.5825,                 0.9512,                 1.0372,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.3019,                0.95862,                 1.0471,                0.95177,                      1,                  0.995,                0.51628,                 1.6178,                0.93666,                 1.0397,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.1366,                0.82307,                0.96608,                0.98016,                      1,                  0.995,                0.49152,                 1.6596,                0.93649,                 1.0808,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.1076,                0.76669,                0.93472,                0.97512,                      1,                  0.995,                0.45826,                 1.7501,                0.89769,                 1.1238,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.1176,                0.83076,                0.96372,                0.97512,                      1,                  0.995,                0.45826,                 1.7501,                0.89769,                 1.1238,               0.000416,               0.000416,               0.000416
                     42,                 1.1848,                0.85792,                 0.9674,                      1,                0.99937,                  0.995,                0.45412,                 1.7472,                0.91773,                 1.1339,              0.0003764,              0.0003764,              0.0003764
                     43,                  1.217,                0.88495,                0.93516,                      1,                0.95777,                  0.995,                0.44873,                 1.7249,                0.88582,                 1.1185,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.1664,                0.82017,                0.95915,                0.99363,                  0.875,                0.98167,                0.45026,                 1.7225,                0.86551,                 1.1239,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.1737,                0.86799,                0.99553,                0.99363,                  0.875,                0.98167,                0.45026,                 1.7225,                0.86551,                 1.1239,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.1185,                0.80456,                0.99053,                      1,                0.96808,                  0.995,                0.46065,                 1.6916,                0.84091,                 1.1079,               0.000218,               0.000218,               0.000218
                     47,                 1.2373,                0.99897,                0.94031,                      1,                0.97834,                  0.995,                0.46718,                 1.6478,                0.81832,                 1.1045,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.0858,                0.88743,                0.91779,                      1,                0.98711,                  0.995,                0.47973,                 1.6429,                0.81986,                  1.079,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.0839,                0.76068,                0.95707,                      1,                0.98711,                  0.995,                0.47973,                 1.6429,                0.81986,                  1.079,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.0868,                0.74592,                0.95764,                      1,                0.98902,                  0.995,                0.49009,                 1.6316,                0.81627,                 1.0711,               5.96e-05,               5.96e-05,               5.96e-05
