                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8779,                 2.9635,                 1.2369,                0.02566,                  0.125,                0.03512,                0.00936,                  2.459,                 4.0766,                 1.3343,                  4e-05,                  4e-05,                  4e-05
                      2,                 1.9658,                 2.9151,                  1.224,                0.08915,                0.44125,                0.06238,                0.02805,                 2.4242,                 3.5313,                 1.2828,              9.802e-05,              9.802e-05,              9.802e-05
                      3,                 1.7802,                 2.7242,                  1.207,                0.88354,                   0.25,                0.32156,                 0.1974,                 2.0732,                 2.7236,                 1.2378,             0.00015366,             0.00015366,             0.00015366
                      4,                 1.6822,                 2.0517,                 1.1445,                0.83623,                   0.25,                0.35295,                0.20397,                 1.9538,                 3.0069,                 1.1897,             0.00020693,             0.00020693,             0.00020693
                      5,                   1.51,                 1.6198,                 1.0275,                0.36745,                    0.5,                0.50161,                0.28824,                  1.815,                 3.2607,                 1.1328,             0.00025782,             0.00025782,             0.00025782
                      6,                  1.455,                 1.4816,                 1.0244,                0.62134,                0.61646,                0.60239,                0.31806,                 1.7358,                 3.0635,                 1.0758,             0.00030634,             0.00030634,             0.00030634
                      7,                 1.3845,                 1.4569,                 1.0482,                 0.6666,                   0.75,                0.68697,                0.37675,                 1.7001,                 2.5654,                 1.0578,             0.00035248,             0.00035248,             0.00035248
                      8,                 1.3703,                 1.5792,                 1.0381,                0.54254,                0.89047,                0.72274,                0.40533,                 1.6456,                 2.1574,                 1.0374,             0.00039624,             0.00039624,             0.00039624
                      9,                 1.3556,                 1.2779,                 1.0052,                0.56323,                      1,                0.79819,                0.44202,                 1.5599,                 1.5155,                 1.0183,             0.00043763,             0.00043763,             0.00043763
                     10,                 1.6125,                   1.24,                 1.1574,                0.59162,                      1,                0.78936,                0.44973,                 1.5335,                 1.4296,                 1.0297,             0.00047664,             0.00047664,             0.00047664
