                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.722,                 1.9608,                 1.0988,                0.99521,                0.44937,                0.54467,                0.28806,                  1.665,                 1.6481,                 1.0813,             0.00015003,             0.00015003,             0.00015003
                      2,                 1.6713,                 1.6562,                 1.0791,                 0.8417,                0.68226,                0.73269,                 0.3633,                 1.6429,                 1.3837,                 1.0608,             0.00030628,             0.00030628,             0.00030628
                      3,                 1.6561,                 1.5583,                 1.0892,                0.73378,                0.80726,                0.74984,                 0.3838,                 1.6301,                 1.2298,                 1.0615,             0.00045152,             0.00045152,             0.00045152
                      4,                 1.6515,                 1.4306,                 1.0903,                0.93733,                0.83112,                0.89916,                0.45191,                  1.701,                 1.2171,                 1.1076,             0.00058577,             0.00058577,             0.00058577
                      5,                 1.6414,                 1.3608,                 1.0733,                0.95955,                0.86991,                0.93238,                0.43307,                 1.7145,                 1.2279,                 1.1195,             0.00070901,             0.00070901,             0.00070901
                      6,                 1.6418,                 1.2485,                 1.0835,                0.94953,                0.90809,                0.96092,                0.51023,                 1.6084,                 1.2501,                 1.0773,             0.00082125,             0.00082125,             0.00082125
                      7,                 1.6117,                 1.1497,                  1.049,                0.95046,                0.87702,                0.94752,                0.48837,                 1.5973,                 1.1787,                 1.0607,             0.00092248,             0.00092248,             0.00092248
                      8,                 1.5563,                 1.1301,                 1.0649,                0.95906,                0.79693,                0.91672,                0.47802,                 1.6298,                 1.4162,                 1.0685,              0.0010127,              0.0010127,              0.0010127
                      9,                 1.5904,                 1.0977,                 1.0679,                0.92909,                0.90518,                0.97893,                0.47475,                 1.6419,                 1.1486,                 1.0585,               0.001092,               0.001092,               0.001092
                     10,                 1.5673,                 1.0636,                 1.0385,                0.96501,                0.94087,                0.97643,                0.48099,                 1.6447,                0.89016,                  1.061,              0.0011602,              0.0011602,              0.0011602
                     11,                 1.5843,                 1.0387,                 1.0428,                0.96186,                 0.9529,                0.98222,                0.51215,                 1.6241,                0.86514,                  1.058,              0.0011169,              0.0011169,              0.0011169
                     12,                 1.5931,                 1.0511,                 1.0661,                0.97393,                 0.9639,                0.98254,                0.51603,                 1.5855,                0.85708,                 1.0499,              0.0010619,              0.0010619,              0.0010619
                     13,                 1.5499,                 1.0149,                 1.0523,                0.95486,                0.97953,                0.97957,                0.51355,                 1.6114,                0.82122,                 1.0485,              0.0010069,              0.0010069,              0.0010069
                     14,                 1.5269,                 1.0049,                 1.0321,                0.99034,                 0.9682,                0.98377,                0.50901,                   1.59,                0.81862,                 1.0451,             0.00095186,             0.00095186,             0.00095186
                     15,                 1.5587,                0.96263,                 1.0689,                  0.974,                0.96317,                0.98368,                0.51439,                 1.5828,                0.82457,                 1.0406,             0.00089685,             0.00089685,             0.00089685
                     16,                 1.5391,                 0.9336,                 1.0419,                0.98305,                0.97172,                0.98824,                0.53663,                 1.5476,                0.77259,                 1.0281,             0.00084184,             0.00084184,             0.00084184
                     17,                 1.4951,                0.90091,                 1.0275,                0.98367,                0.97172,                0.98776,                0.54755,                 1.5183,                0.76218,                 1.0247,             0.00078682,             0.00078682,             0.00078682
                     18,                 1.4842,                0.90383,                 1.0425,                0.97247,                0.98315,                0.98985,                0.52504,                 1.6254,                0.74013,                 1.0584,             0.00073181,             0.00073181,             0.00073181
                     19,                 1.5006,                0.87141,                 1.0309,                0.98498,                0.97693,                0.98579,                0.54811,                 1.5079,                0.73272,                 1.0156,              0.0006768,              0.0006768,              0.0006768
                     20,                 1.4554,                0.85967,                 1.0151,                0.98876,                0.96539,                0.98431,                0.53814,                 1.5366,                0.71266,                 1.0216,             0.00062179,             0.00062179,             0.00062179
                     21,                  1.479,                0.96945,                 1.0751,                0.98634,                0.96539,                 0.9815,                 0.5049,                 1.6393,                 0.7535,                 1.0631,             0.00056678,             0.00056678,             0.00056678
                     22,                  1.439,                0.95038,                 1.0515,                 0.9778,                0.98581,                0.98178,                0.55251,                 1.5288,                0.72465,                 1.0201,             0.00051177,             0.00051177,             0.00051177
                     23,                 1.4632,                0.91997,                 1.0753,                0.97961,                0.98553,                0.98308,                0.54215,                 1.5619,                0.72236,                 1.0411,             0.00045676,             0.00045676,             0.00045676
                     24,                 1.4438,                0.87996,                  1.094,                0.98577,                0.97804,                0.98461,                0.52804,                 1.6163,                 0.7486,                 1.0401,             0.00040175,             0.00040175,             0.00040175
                     25,                 1.4365,                0.90727,                 1.0409,                0.98879,                0.96834,                0.98323,                0.52165,                 1.6117,                0.72963,                 1.0391,             0.00034674,             0.00034674,             0.00034674
