                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3219,                 4.3214,                 1.2907,                0.00259,                0.17722,                0.00158,                0.00085,                 1.5467,                 3.8354,                0.99844,                0.00014,                0.00014,                0.00014
                      2,                 1.8784,                 2.6376,                  1.109,                0.01259,                0.86076,                0.01225,                0.00598,                 1.5009,                  3.576,                0.99733,             0.00029406,             0.00029406,             0.00029406
                      3,                 1.8533,                 1.7959,                  1.147,                0.00278,                0.18987,                0.00165,                0.00058,                 1.4169,                 3.5777,                0.99876,             0.00044178,             0.00044178,             0.00044178
                      4,                 1.7391,                 1.5464,                 1.1419,                0.00333,                0.22785,                0.00205,                0.00116,                 1.4549,                 3.6328,                 1.0413,             0.00058317,             0.00058317,             0.00058317
                      5,                 1.7675,                 1.4325,                  1.127,                0.00333,                0.22785,                0.00205,                0.00116,                 1.4043,                 3.6045,                0.99754,             0.00071822,             0.00071822,             0.00071822
                      6,                 1.7561,                 1.4014,                 1.1335,                0.00093,                0.06329,                 0.0005,                 0.0003,                 1.4603,                 3.5007,                 1.0279,             0.00084694,             0.00084694,             0.00084694
                      7,                 1.7852,                 1.3205,                 1.1513,                0.00296,                0.20253,                0.00201,                0.00121,                  1.448,                 3.3095,                 1.0311,             0.00096932,             0.00096932,             0.00096932
                      8,                 1.7732,                 1.2876,                 1.1551,                0.06832,                0.83544,                0.75085,                0.38852,                 1.4529,                 2.9239,                 1.0324,              0.0010854,              0.0010854,              0.0010854
                      9,                  1.695,                 1.2612,                 1.1064,                0.01352,                0.92405,                0.80995,                0.47199,                 1.4815,                 2.8821,                 1.0457,              0.0011951,              0.0011951,              0.0011951
                     10,                 1.6955,                 1.1971,                 1.1259,                0.01352,                0.92405,                0.80777,                0.46816,                 1.4189,                 2.7486,                 1.0389,              0.0012984,              0.0012984,              0.0012984
                     11,                 1.7421,                 1.1769,                 1.1719,                      1,                0.73612,                0.92426,                0.55309,                  1.442,                 2.2236,                 1.0494,              0.0013955,              0.0013955,              0.0013955
                     12,                 1.7252,                 1.0992,                 1.1315,                0.98139,                 0.6676,                0.87943,                0.52676,                 1.4768,                 1.9818,                 1.0648,              0.0014862,              0.0014862,              0.0014862
                     13,                 1.6838,                 1.0736,                 1.1279,                0.94722,                0.78481,                0.94156,                0.55078,                 1.5015,                 1.7166,                 1.0759,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.7233,                 1.0601,                 1.1447,                      1,                0.91014,                0.96389,                0.57658,                 1.4268,                  1.598,                 1.0471,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.6883,                 1.0789,                 1.1007,                 0.9863,                0.91139,                0.96655,                0.56664,                 1.4488,                  1.331,                 1.0565,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.6738,                 1.0485,                 1.1177,                0.97049,                0.83266,                0.95063,                0.51603,                 1.5379,                 1.5893,                 1.0866,               0.001406,               0.001406,               0.001406
                     17,                 1.6288,                 1.0203,                 1.0739,                      1,                0.92841,                0.97187,                0.56093,                 1.4852,                 1.1414,                 1.0669,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.6964,                 1.0358,                 1.1303,                0.98677,                0.94425,                0.97401,                0.56038,                 1.4984,                  1.251,                 1.0636,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.7028,                 1.1178,                 1.1315,                0.98688,                0.95234,                0.98374,                0.54333,                 1.4857,                 1.1754,                 1.0631,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.6481,                 1.0368,                 1.0895,                0.99363,                0.97468,                0.97561,                0.55095,                 1.4759,                0.76751,                 1.0683,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.6222,                 1.0418,                 1.1034,                0.98602,                0.97468,                0.97826,                0.55503,                 1.4437,                0.78001,                 1.0533,               0.001208,               0.001208,               0.001208
                     22,                 1.6131,                0.95258,                 1.0674,                0.98537,                0.97468,                   0.98,                0.57019,                 1.4659,                0.74165,                 1.0728,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.6026,                0.92942,                 1.1324,                0.98714,                 0.9716,                0.98883,                 0.5537,                 1.5187,                0.73296,                 1.0854,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.6373,                0.89231,                 1.1161,                0.99986,                0.94937,                0.97934,                 0.5204,                 1.6063,                0.78596,                 1.1185,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.6812,                0.88791,                  1.133,                 0.9981,                0.96203,                0.98112,                0.57451,                 1.4356,                0.70769,                 1.0598,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.6173,                 0.8776,                 1.0955,                0.99156,                0.97468,                0.98184,                0.53853,                  1.521,                  0.725,                 1.0882,                0.00101,                0.00101,                0.00101
                     27,                 1.6183,                0.85918,                 1.0909,                0.98582,                0.97468,                0.98201,                0.56303,                  1.439,                0.68823,                 1.0507,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.5826,                0.84914,                  1.092,                      1,                0.96051,                 0.9812,                0.55878,                 1.4934,                0.68859,                 1.0702,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.5832,                0.83557,                 1.0829,                0.99848,                0.96203,                0.97953,                0.52107,                 1.5731,                0.69546,                 1.1004,              0.0008912,              0.0008912,              0.0008912
                     30,                  1.594,                0.79699,                  1.088,                      1,                0.97045,                0.97732,                0.52079,                 1.5708,                0.70712,                 1.1016,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.5655,                0.84574,                 1.0849,                0.99981,                0.96203,                0.98234,                0.48619,                  1.644,                0.70279,                 1.1288,               0.000812,               0.000812,               0.000812
                     32,                 1.5761,                0.81873,                 1.0605,                0.99691,                0.96203,                 0.9831,                0.52584,                 1.5544,                0.69802,                 1.0958,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.5515,                0.80619,                 1.0558,                0.99931,                0.96203,                0.98264,                0.51383,                 1.6153,                0.69698,                 1.1139,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.5567,                0.78636,                 1.0793,                0.99357,                0.96203,                0.98325,                0.50133,                 1.6414,                0.71174,                 1.1149,              0.0006932,              0.0006932,              0.0006932
                     35,                  1.551,                0.78146,                 1.0644,                      1,                0.94931,                0.98299,                0.48739,                 1.6742,                0.72493,                 1.1225,              0.0006536,              0.0006536,              0.0006536
