                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.5433,                0.75377,                 1.0867,                0.99797,                0.96203,                0.98285,                0.54763,                 1.5455,                0.70158,                 1.0766,               0.000614,               0.000614,               0.000614
                     37,                 1.5812,                0.81399,                 1.0988,                      1,                0.96016,                0.98224,                0.51893,                 1.6152,                0.71699,                 1.1116,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.5928,                 0.7799,                 1.0774,                      1,                0.95913,                0.98207,                0.50004,                 1.6458,                0.72991,                 1.1195,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.4708,                0.75906,                 1.0598,                0.98469,                0.96203,                0.98347,                0.49475,                  1.686,                0.70611,                 1.1334,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.4924,                0.73453,                 1.0582,                0.96166,                0.97468,                0.98316,                0.49724,                 1.6428,                0.68804,                 1.1172,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.5501,                0.85327,                 1.1451,                0.98618,                0.94937,                0.98223,                0.49357,                 1.6543,                0.69538,                 1.1241,               0.000416,               0.000416,               0.000416
                     42,                 1.5133,                0.79581,                 1.1283,                0.98984,                0.94937,                0.98304,                0.51041,                  1.627,                0.70908,                 1.1117,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.4682,                0.76646,                 1.1071,                 0.9742,                0.95583,                0.98304,                0.54351,                 1.5418,                 0.7079,                 1.0825,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.5581,                0.77687,                 1.1424,                      1,                0.95703,                0.98369,                0.53411,                 1.5428,                0.67885,                 1.0897,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.4543,                0.74672,                 1.1055,                0.98138,                0.96203,                0.98321,                0.53646,                 1.5583,                0.67773,                 1.0981,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.4659,                0.72529,                 1.1418,                0.98457,                0.96203,                0.98343,                0.53803,                 1.5357,                0.67737,                 1.0862,               0.000218,               0.000218,               0.000218
                     47,                 1.4405,                0.72428,                 1.0957,                 0.9829,                0.96203,                 0.9833,                0.54256,                 1.5248,                0.67226,                 1.0801,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.4398,                0.72166,                 1.1173,                0.98422,                0.96203,                0.98318,                  0.526,                 1.5648,                0.66629,                  1.091,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.4259,                0.73213,                 1.0801,                0.98426,                0.96203,                0.98321,                 0.5084,                 1.6066,                0.67298,                 1.1107,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                  1.449,                 0.7141,                 1.1054,                0.98399,                0.96203,                0.98301,                0.50279,                 1.6246,                0.68195,                 1.1174,               5.96e-05,               5.96e-05,               5.96e-05
