                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     17,                 1.6945,                 1.0997,                 1.0916,                      1,                0.79244,                0.96095,                0.48079,                 1.4945,                 1.9303,                  1.049,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.6839,                 1.0602,                  1.085,                      1,                 0.9558,                0.96525,                0.54741,                 1.3806,                 1.4175,                 1.0387,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.7437,                 1.1178,                 1.1498,                0.94743,                0.93222,                0.96114,                0.53758,                 1.3647,                 1.3486,                 1.0311,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.7322,                 1.0875,                 1.1147,                0.93144,                0.87931,                 0.9299,                0.49731,                  1.468,                 1.2921,                  1.052,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.6224,                 1.0216,                  1.079,                0.94324,                0.85967,                0.94439,                0.51106,                 1.4706,                 1.2723,                 1.0558,               0.001208,               0.001208,               0.001208
                     22,                 1.5931,                 0.9749,                 1.0735,                0.93108,                0.87931,                0.94664,                0.50145,                 1.4913,                 1.1637,                 1.0594,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.6321,                0.94709,                 1.0614,                0.96431,                0.93158,                 0.9543,                0.51261,                 1.4928,                 1.0548,                 1.0645,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.6483,                 1.0166,                 1.1175,                0.97988,                0.94828,                0.95745,                0.45213,                  1.575,                  1.034,                 1.0828,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.7311,                0.98169,                 1.0846,                0.97714,                0.94828,                0.96043,                0.53143,                 1.4785,                0.98245,                 1.0508,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.6198,                 0.9307,                 1.0722,                0.99382,                0.93103,                0.96179,                0.56285,                 1.3911,                0.83537,                 1.0361,                0.00101,                0.00101,                0.00101
                     27,                  1.642,                0.91983,                 1.0806,                 0.9821,                0.94625,                0.96285,                0.53495,                 1.4457,                0.79568,                 1.0487,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.5563,                0.91423,                 1.0749,                0.99889,                0.94828,                0.96275,                0.47558,                 1.5826,                0.87142,                 1.0772,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.6208,                0.90134,                 1.0494,                0.98678,                0.94828,                0.96102,                0.52859,                 1.4779,                0.77552,                 1.0558,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.6007,                0.89723,                 1.0983,                0.99759,                0.94828,                 0.9733,                0.49263,                 1.5846,                0.74159,                 1.0744,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.5975,                0.91128,                 1.0967,                0.99635,                0.96552,                0.97353,                0.52822,                 1.5475,                0.71921,                 1.0625,               0.000812,               0.000812,               0.000812
                     32,                 1.5691,                 0.8902,                 1.0682,                 0.9993,                0.96552,                0.97153,                0.56983,                 1.4376,                0.73174,                  1.037,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.5778,                0.86952,                 1.0733,                      1,                0.96226,                0.96676,                0.54865,                 1.4557,                0.71526,                 1.0374,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.5961,                0.86412,                 1.0594,                0.98232,                0.95788,                 0.9649,                0.40648,                 1.8285,                0.81791,                 1.1604,              0.0006932,              0.0006932,              0.0006932
                     35,                  1.604,                0.86526,                 1.0699,                0.98649,                0.93103,                0.96438,                0.44829,                 1.7565,                0.82888,                 1.1334,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.5793,                0.87115,                  1.055,                      1,                0.94713,                0.96392,                0.50941,                 1.5707,                0.80085,                 1.0836,               0.000614,               0.000614,               0.000614
                     37,                 1.5618,                0.85279,                 1.0626,                0.99723,                0.94828,                0.96456,                0.48945,                 1.5996,                0.78305,                 1.0914,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.5218,                0.83023,                 1.0508,                0.98214,                0.94789,                0.93969,                0.39262,                 1.8485,                0.80913,                 1.1876,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.4943,                0.79483,                 1.0379,                0.97921,                0.94828,                0.94852,                0.40252,                 1.8642,                0.78002,                 1.1896,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.5353,                0.80219,                 1.0725,                0.99858,                0.96552,                0.97899,                0.44103,                 1.7584,                0.73911,                 1.1504,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.5394,                0.88501,                  1.105,                0.99751,                0.96552,                0.98114,                0.44012,                 1.7881,                0.74171,                 1.1591,               0.000416,               0.000416,               0.000416
                     42,                 1.5225,                0.90022,                 1.0822,                0.97983,                0.94828,                0.95543,                0.40169,                 1.8881,                 0.7563,                 1.1975,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.4721,                0.88071,                 1.0701,                0.98031,                0.94828,                 0.9475,                0.41415,                 1.7791,                0.73249,                 1.1604,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.4832,                0.84688,                 1.0839,                0.97871,                0.96552,                0.97831,                0.51183,                 1.5541,                0.68141,                 1.0741,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.4897,                0.83283,                 1.0631,                0.97976,                0.96552,                0.97881,                0.53511,                 1.5181,                0.66814,                 1.0588,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.4717,                0.82416,                 1.0956,                0.97929,                0.96552,                0.97993,                0.51727,                 1.5626,                0.67623,                 1.0695,               0.000218,               0.000218,               0.000218
                     47,                 1.5052,                0.82816,                 1.0671,                0.97934,                0.96552,                0.97954,                0.50749,                 1.5982,                0.67716,                 1.0785,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.4666,                0.85429,                 1.0561,                0.97997,                0.96552,                0.97815,                0.50926,                 1.5868,                0.69339,                 1.0714,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.4808,                0.83039,                  1.067,                0.98027,                0.96552,                0.97769,                0.52059,                 1.5722,                 0.6808,                 1.0675,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                  1.444,                 0.8128,                 1.0712,                0.98049,                0.96552,                0.97713,                0.52193,                 1.5818,                0.67038,                 1.0729,               5.96e-05,               5.96e-05,               5.96e-05
