                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2793,                 4.2769,                 1.2853,                0.00872,                0.58621,                0.00702,                0.00399,                 1.5648,                 3.8924,                  1.019,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.9726,                 3.3577,                 1.1665,                0.01128,                0.75862,                0.10089,                0.02886,                 1.3293,                  3.662,                0.95081,             0.00021564,             0.00021564,             0.00021564
                      3,                 1.8848,                 2.0052,                 1.1258,                 0.0041,                0.27586,                 0.1706,                0.03585,                 1.3101,                 3.5346,                0.93164,             0.00032654,             0.00032654,             0.00032654
                      4,                 1.7691,                 1.5759,                 1.1008,                0.00949,                0.63793,                0.39451,                0.08273,                 1.2711,                   3.49,                0.94659,             0.00043268,             0.00043268,             0.00043268
                      5,                 1.7611,                 1.5125,                 1.1162,                0.00051,                0.03448,                0.00028,                  7e-05,                 1.2239,                 3.5188,                0.93619,             0.00053406,             0.00053406,             0.00053406
                      6,                 1.8262,                    1.4,                 1.1492,                0.00026,                0.01724,                0.00013,                  7e-05,                 1.2447,                 3.5922,                0.94612,              0.0006307,              0.0006307,              0.0006307
                      7,                 1.7439,                 1.2928,                   1.11,                0.00231,                0.15517,                 0.0019,                0.00101,                 1.2383,                 3.5001,                0.95448,             0.00072258,             0.00072258,             0.00072258
                      8,                 1.7316,                 1.3571,                 1.1025,                0.00077,                0.05172,                0.00041,                0.00022,                 1.2678,                 3.4308,                0.99112,             0.00080972,             0.00080972,             0.00080972
                      9,                 1.7507,                  1.221,                  1.121,                0.01179,                 0.7931,                0.01143,                0.00617,                 1.4182,                 3.3462,                 1.0506,              0.0008921,              0.0008921,              0.0008921
                     10,                 1.7117,                 1.1997,                 1.1135,                 0.0141,                0.94828,                0.30757,                0.14929,                 1.3597,                 3.0545,                 1.0245,             0.00096972,             0.00096972,             0.00096972
                     11,                 1.7134,                 1.2589,                 1.1203,                0.01436,                0.96552,                0.42519,                0.19704,                 1.3617,                 3.0131,                 1.0135,              0.0010426,              0.0010426,              0.0010426
                     12,                 1.7404,                 1.1981,                 1.0874,                      1,                0.77016,                 0.9223,                 0.4951,                 1.3859,                 2.5958,                 1.0039,              0.0011107,              0.0011107,              0.0011107
                     13,                 1.7029,                 1.2145,                 1.1128,                      1,                0.69891,                0.94499,                0.51289,                 1.3435,                  2.553,                0.98659,              0.0011741,              0.0011741,              0.0011741
                     14,                 1.7475,                 1.2065,                 1.0855,                      1,                 0.4779,                0.94578,                0.54913,                 1.3326,                 2.2274,                0.98827,              0.0012327,              0.0012327,              0.0012327
                     15,                 1.7188,                 1.1204,                 1.0858,                      1,                 0.7482,                0.94523,                0.51871,                  1.404,                 2.0753,                 1.0086,              0.0012866,              0.0012866,              0.0012866
                     16,                 1.6444,                 1.0785,                 1.0895,                      1,                0.58441,                0.93019,                 0.5169,                   1.38,                 2.1606,                 1.0115,              0.0013357,              0.0013357,              0.0013357
